assists,games,goals,understat_id,key_passes,npg,npxG,name,position,red_cards,shots,team,minutes,xA,xG,xGBuildup,xGChain,yellow_cards,xG90,xA90
0,1,0,790,1,0,0.13,Nathan Redmond,M,0,3,SOU,90,0.04,0.13,0.09,0.2,0,0.13,0.04
0,1,0,803,1,0,0.0,Ben Foster,GK,0,0,WAT,90,0.04,0.0,0.08,0.08,0,0.0,0.04
0,1,0,813,0,0,0.19,Salomón Rondón,S,0,2,NEW,29,0.0,0.19,0.02,0.21,0,0.6,0.0
0,1,0,815,0,0,0.02,Alex Pritchard,M,0,1,HUD,47,0.0,0.02,0.0,0.02,0,0.05,0.0
0,1,0,825,1,0,0.0,Adam Smith,D,0,0,BOU,90,0.08,0.0,0.04,0.12,0,0.0,0.08
0,1,0,833,0,0,0.0,Virgil van Dijk,D,0,0,LIV,90,0.0,0.0,0.94,0.94,0,0.0,0.0
0,1,0,835,2,0,0.01,Ryan Bertrand,M,0,1,SOU,90,0.06,0.01,0.29,0.36,0,0.01,0.06
0,1,0,842,0,0,0.02,Oriol Romeu,M,0,1,SOU,90,0.0,0.02,0.2,0.23,0,0.02,0.0
0,1,0,848,2,0,0.04,Charlie Austin,F,0,1,SOU,73,0.03,0.04,0.0,0.07,0,0.04,0.04
0,1,0,770,1,0,0.05,Ayoze Pérez,M,0,1,NEW,83,0.16,0.05,0.0,0.16,0,0.06,0.18
0,1,0,853,0,0,0.02,Paul Dummett,D,0,1,NEW,90,0.0,0.02,0.41,0.41,0,0.02,0.0
0,1,0,865,0,0,0.21,Marko Arnautovic,F,0,2,WHU,69,0.0,0.21,0.0,0.21,0,0.28,0.0
0,1,0,875,0,0,0.06,Ciaran Clark,D,0,2,NEW,90,0.0,0.06,0.0,0.0,0,0.06,0.0
0,1,0,882,0,0,0.05,Glenn Murray,F,0,1,BHA,90,0.0,0.05,0.0,0.05,0,0.05,0.0
0,1,0,888,0,0,0.0,Xherdan Shaqiri,S,0,0,LIV,6,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,959,0,0,0.0,Joe Bennett,D,0,0,CAR,90,0.0,0.0,0.05,0.05,0,0.0,0.0
0,1,0,985,0,0,0.0,Mason Holgate,S,0,0,EVE,47,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,986,3,0,0.09,Danny Ings,S,0,3,SOU,33,0.15,0.09,0.11,0.23,0,0.23,0.42
0,1,0,987,0,0,0.07,Joseph Gomez,D,0,1,LIV,90,0.0,0.07,0.99,0.99,0,0.07,0.0
0,1,0,1036,0,0,0.0,Jack Wilshere,M,0,0,WHU,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,1203,0,0,0.01,Wesley Hoedt,D,0,1,SOU,90,0.0,0.01,0.14,0.15,0,0.01,0.0
0,1,0,1208,2,0,0.0,Felipe Anderson,M,0,0,WHU,64,0.19,0.0,0.0,0.0,0,0.0,0.26
0,1,0,1227,0,0,0.0,Lucas Torreira,S,0,0,ARS,16,0.0,0.0,0.02,0.02,0,0.0,0.0
0,1,0,771,0,0,0.26,Georginio Wijnaldum,M,0,3,LIV,90,0.0,0.26,0.84,1.11,0,0.26,0.0
0,1,0,769,2,0,0.0,Jonjo Shelvey,M,0,0,NEW,90,0.16,0.0,0.56,0.62,0,0.0,0.16
0,1,0,635,0,0,0.0,Alex McCarthy,GK,0,0,SOU,90,0.0,0.0,0.0,0.0,0,0.0,0.0
1,1,0,700,3,0,0.05,Willian,F,0,1,CHE,77,0.15,0.05,0.06,0.21,0,0.06,0.17
0,1,0,637,0,0,0.0,Hugo Lloris,GK,0,0,TOT,90,0.0,0.0,0.43,0.43,0,0.0,0.0
0,1,0,638,0,0,0.0,Kyle Walker,D,0,0,MCI,90,0.0,0.0,0.59,0.59,0,0.0,0.0
0,1,0,642,0,0,0.03,Mousa Dembélé,S,0,1,TOT,20,0.0,0.03,0.0,0.03,0,0.14,0.0
0,1,0,643,0,0,0.0,Eric Dier,M,0,0,TOT,90,0.0,0.0,0.13,0.13,1,0.0,0.0
0,1,0,646,5,0,0.04,Christian Eriksen,M,0,2,TOT,90,0.27,0.04,0.43,0.57,0,0.04,0.27
0,1,0,647,2,0,0.22,Harry Kane,F,0,2,TOT,90,0.25,0.22,0.13,0.6,1,0.22,0.25
0,1,0,660,2,0,0.03,Ben Davies,D,0,1,TOT,90,0.26,0.03,0.13,0.13,0,0.03,0.26
0,1,0,668,0,0,0.0,Idrissa Gueye,M,0,0,EVE,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,669,2,0,0.04,Ashley Westwood,M,0,2,BUR,90,0.07,0.04,0.13,0.23,0,0.04,0.07
0,1,0,681,0,0,0.0,César Azpilicueta,D,0,0,CHE,90,0.0,0.0,0.05,0.05,0,0.0,0.0
0,1,0,688,0,0,0.0,Ruben Loftus-Cheek,S,0,0,CHE,21,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,689,0,0,0.03,Kenedy,M,0,1,NEW,90,0.0,0.03,0.59,0.61,0,0.03,0.0
0,1,0,694,0,0,0.0,Asmir Begovic,GK,0,0,BOU,90,0.0,0.0,0.16,0.16,0,0.0,0.0
1,1,0,701,1,0,0.14,Eden Hazard,S,0,1,CHE,13,0.28,0.14,0.0,0.28,0,0.98,1.94
0,1,0,766,0,0,0.0,Jamaal Lascelles,D,0,0,NEW,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,706,0,0,0.0,Lukasz Fabianski,GK,0,0,WHU,90,0.0,0.0,0.1,0.1,0,0.0,0.0
0,1,0,712,3,0,0.0,Jack Cork,M,0,0,BUR,90,0.15,0.0,0.02,0.15,1,0.0,0.15
0,1,0,714,0,0,0.0,Gylfi Sigurdsson,M,0,0,EVE,43,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,727,0,0,0.01,DeAndre Yedlin,D,0,1,NEW,90,0.0,0.01,0.42,0.43,0,0.01,0.0
1,1,0,730,2,0,0.03,Patrick van Aanholt,D,0,1,CRY,90,0.18,0.03,0.2,0.22,0,0.03,0.18
0,1,0,735,0,0,0.0,Jermain Defoe,S,0,0,BOU,1,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,741,0,0,0.0,Jordan Pickford,GK,0,0,EVE,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,745,0,0,0.1,Kasper Schmeichel,GK,0,1,LEI,90,0.0,0.1,0.11,0.11,0,0.1,0.0
0,1,0,748,0,0,0.0,Wes Morgan,D,0,0,LEI,90,0.0,0.0,0.02,0.02,0,0.0,0.0
0,1,0,750,1,0,0.2,Riyad Mahrez,M,0,2,MCI,64,0.09,0.2,0.1,0.15,0,0.28,0.13
0,1,0,759,1,0,0.0,Daniel Amartey,D,0,0,LEI,64,0.02,0.0,0.05,0.05,1,0.0,0.03
0,1,0,762,0,0,0.13,Demarai Gray,M,0,3,LEI,90,0.0,0.13,0.08,0.21,0,0.13,0.0
0,1,0,764,0,0,0.12,Daryl Janmaat,D,0,2,WAT,90,0.0,0.12,0.0,0.12,0,0.12,0.0
0,1,0,6894,4,0,0.11,Mohamed Elyounoussi,S,0,2,SOU,33,0.23,0.11,0.09,0.21,0,0.31,0.62
