fpl_id,name,team,position,price,total_points,minutes,PP90,PP90PM,goals,assists,clean_sheets,bonus,bps,form,goals_conceded,yellow_cards,red_cards,saves,penalties_missed,penalties_saved,team_code
319,Diamé,NEW,M,5.0,1,90,1.0,0.2,0,0,0,0,7,1.0,2,1,0,0,0,0,4
221,Pereira,LEI,D,5.0,4,90,4.0,0.8,0,1,0,0,23,4.0,2,0,0,0,0,0,13
471,Diakhaby,HUD,M,5.0,1,19,4.74,0.95,0,0,0,0,2,1.0,1,0,0,0,0,0,38
481,Pereira,MUN,M,5.0,1,90,1.0,0.2,0,0,0,0,13,1.0,1,1,0,0,0,0,1
219,Chilwell,LEI,D,5.0,1,90,1.0,0.2,0,0,0,0,12,1.0,2,0,0,0,0,0,13
213,Schmeichel,LEI,GK,5.0,2,90,2.0,0.4,0,0,0,0,16,2.0,2,0,0,4,0,0,13
330,Bertrand,SOU,D,5.0,6,90,6.0,1.2,0,0,1,0,24,6.0,0,0,0,0,0,0,20
312,Lascelles,NEW,D,5.0,1,90,1.0,0.2,0,0,0,0,16,1.0,2,0,0,0,0,0,4
228,Iborra,LEI,M,5.0,1,10,9.0,1.8,0,0,0,0,5,1.0,1,0,0,0,0,0,13
298,Fellaini,MUN,M,5.0,1,6,15.0,3.0,0,0,0,0,4,1.0,1,0,0,0,0,0,1
327,Joselu,NEW,F,5.0,5,58,7.76,1.55,1,0,0,1,30,5.0,2,1,0,0,0,0,4
242,Gomez,LIV,D,5.0,6,90,6.0,1.2,0,0,1,0,27,6.0,0,0,0,0,0,0,14
458,Kenedy,NEW,M,5.0,2,90,2.0,0.4,0,0,0,0,8,2.0,2,0,0,0,0,0,4
245,Alexander-Arnold,LIV,D,5.0,5,90,5.0,1.0,0,0,1,0,22,5.0,0,1,0,0,0,0,14
231,Silva,LEI,M,5.0,2,79,2.28,0.46,0,0,0,0,13,2.0,1,0,0,0,0,0,13
227,Ndidi,LEI,M,5.0,2,90,2.0,0.4,0,0,0,0,13,2.0,2,0,0,0,0,0,13
289,Darmian,MUN,D,5.0,2,90,2.0,0.4,0,0,0,0,16,2.0,1,0,0,0,0,0,1
292,Lindelöf,MUN,D,5.0,2,90,2.0,0.4,0,0,0,0,15,2.0,1,0,0,0,0,0,1
206,Pritchard,HUD,M,5.0,1,45,2.0,0.4,0,0,0,0,2,1.0,2,0,0,0,0,0,38
1,Cech,ARS,GK,5.0,3,90,3.0,0.6,0,0,0,0,24,3.0,2,0,0,6,0,0,3
90,Morrison,CAR,D,5.0,1,90,1.0,0.2,0,0,0,0,14,1.0,2,0,0,0,0,0,97
71,Ward,BUR,D,5.0,6,90,6.0,1.2,0,0,1,0,24,6.0,0,0,0,0,0,0,90
72,Tarkowski,BUR,D,5.0,7,90,7.0,1.4,0,0,1,1,30,7.0,0,0,0,0,0,0,90
446,Sema,WAT,M,5.0,1,9,10.0,2.0,0,0,0,0,5,1.0,0,0,0,0,0,0,57
82,Cork,BUR,M,5.0,2,90,2.0,0.4,0,0,1,0,10,2.0,0,1,0,0,0,0,90
83,Lennon,BUR,M,5.0,3,90,3.0,0.6,0,0,1,0,6,3.0,0,0,0,0,0,0,90
392,Hughes,WAT,M,5.0,3,80,3.38,0.68,0,0,1,0,3,3.0,0,0,0,0,0,0,57
389,Capoue,WAT,M,5.0,2,90,2.0,0.4,0,0,1,0,8,2.0,0,1,0,0,0,0,57
438,Bonatini,WOL,F,5.0,1,19,4.74,0.95,0,0,0,0,3,1.0,0,0,0,0,0,0,39
98,Ralls,CAR,M,5.0,2,90,2.0,0.4,0,0,0,0,12,2.0,2,0,0,0,0,0,97
100,Mendez-Laing,CAR,M,5.0,2,62,2.9,0.58,0,0,0,0,4,2.0,1,0,0,0,0,0,97
106,Murphy,CAR,M,5.0,1,27,3.33,0.67,0,0,0,0,4,1.0,1,0,0,0,0,0,97
381,Janmaat,WAT,D,5.0,7,90,7.0,1.4,0,0,1,1,25,7.0,0,0,0,0,0,0,57
70,Mee,BUR,D,5.0,8,90,8.0,1.6,0,0,1,2,31,8.0,0,0,0,0,0,0,90
69,Lowton,BUR,D,5.0,6,90,6.0,1.2,0,0,1,0,26,6.0,0,0,0,0,0,0,90
11,Lichtsteiner,ARS,D,5.0,1,55,1.64,0.33,0,0,0,0,0,1.0,1,0,0,0,0,0,3
450,Torreira,ARS,M,5.0,1,20,4.5,0.9,0,0,0,0,5,1.0,0,0,0,0,0,0,3
447,Wilshere,WHU,M,5.0,2,90,2.0,0.4,0,0,0,0,10,2.0,4,0,0,0,0,0,21
31,Aké,BOU,D,5.0,8,90,8.0,1.6,0,0,1,2,33,8.0,0,0,0,0,0,0,91
35,Surman,BOU,M,5.0,3,90,3.0,0.6,0,0,1,0,8,3.0,0,0,0,0,0,0,91
37,Gosling,BOU,M,5.0,3,90,3.0,0.6,0,0,1,0,12,3.0,0,0,0,0,0,0,91
42,Brooks,BOU,M,5.0,3,66,4.09,0.82,0,0,1,0,3,3.0,0,0,0,0,0,0,91
44,Mousset,BOU,F,5.0,1,1,90.0,18.0,0,0,0,0,3,1.0,0,0,0,0,0,0,91
411,Noble,WHU,M,5.0,2,90,2.0,0.4,0,0,0,0,12,2.0,4,0,0,0,0,0,21
408,Fredericks,WHU,D,5.0,0,90,0.0,0.0,0,0,0,0,5,0.0,4,0,0,0,0,0,21
58,March,BHA,M,5.0,2,70,2.57,0.51,0,0,0,0,6,2.0,2,0,0,0,0,0,36
60,Pröpper,BHA,M,5.0,2,90,2.0,0.4,0,0,0,0,9,2.0,2,0,0,0,0,0,36
466,Bissouma,BHA,M,5.0,1,30,3.0,0.6,0,0,0,0,2,1.0,0,0,0,0,0,0,36
126,Kanté,CHE,M,5.0,8,90,8.0,1.6,1,0,1,0,30,8.0,0,0,0,0,0,0,8
162,Keane,EVE,D,5.0,5,90,5.0,1.0,0,1,0,1,27,5.0,2,0,0,0,0,0,11
182,Cairney,FUL,M,5.0,2,90,2.0,0.4,0,0,0,0,15,2.0,2,0,0,0,0,0,54
344,Lemina,SOU,M,5.0,3,90,3.0,0.6,0,0,1,0,7,3.0,0,0,0,0,0,0,20
412,Kouyaté,CRY,M,5.0,1,2,45.0,9.0,0,0,0,0,3,1.0,0,0,0,0,0,0,31
369,Sissoko,TOT,M,5.0,2,90,2.0,0.4,0,0,0,0,11,2.0,1,0,0,0,0,0,6
362,Dembélé,TOT,M,5.0,1,22,4.09,0.82,0,0,0,0,2,1.0,0,0,0,0,0,0,6
168,Gueye,EVE,M,5.0,2,90,2.0,0.4,0,0,0,0,15,2.0,2,0,0,0,0,0,11
361,Dier,TOT,M,5.0,1,87,1.03,0.21,0,0,0,0,15,1.0,1,1,0,0,0,0,6
484,Digne,EVE,D,5.0,1,4,22.5,4.5,0,0,0,0,2,1.0,0,0,0,0,0,0,11
510,Bryan,FUL,D,5.0,2,70,2.57,0.51,0,0,0,0,17,2.0,1,0,0,0,0,0,54
463,Vestergaard,SOU,D,5.0,6,90,6.0,1.2,0,0,1,0,23,6.0,0,0,0,0,0,0,20
153,Sørloth,CRY,F,5.0,1,7,12.86,2.57,0,0,0,0,4,1.0,0,0,0,0,0,0,31
154,Pickford,EVE,GK,5.0,1,90,1.0,0.2,0,0,0,0,13,1.0,2,0,0,2,0,0,11
147,McArthur,CRY,M,5.0,3,90,3.0,0.6,0,0,1,0,14,3.0,0,0,0,0,0,0,31
